[2026-02-03 16:56:09] [src/main.c:162 draw_hand] String: red 5, Color: 196, Value: 5
[2026-02-03 16:56:09] [src/main.c:162 draw_hand] String: blue skip, Color: 20, Value: skip
[2026-02-03 16:56:09] [src/main.c:162 draw_hand] String: red 5, Color: 196, Value: 5
[2026-02-03 16:56:09] [src/main.c:162 draw_hand] String: blue skip, Color: 20, Value: skip
[2026-02-03 16:56:09] [src/main.c:162 draw_hand] String: red 5, Color: 196, Value: 5
[2026-02-03 16:56:09] [src/main.c:162 draw_hand] String: blue skip, Color: 20, Value: skip
[2026-02-03 16:56:10] [src/main.c:162 draw_hand] String: red 5, Color: 196, Value: 5
[2026-02-03 16:56:10] [src/main.c:162 draw_hand] String: blue skip, Color: 20, Value: skip
[2026-02-03 16:56:10] [src/main.c:162 draw_hand] String: red 5, Color: 196, Value: 5
[2026-02-03 16:56:10] [src/main.c:162 draw_hand] String: blue skip, Color: 20, Value: skip
[2026-02-03 16:56:10] [src/main.c:162 draw_hand] String: red 5, Color: 196, Value: 5
[2026-02-03 16:56:10] [src/main.c:162 draw_hand] String: blue skip, Color: 20, Value: skip
[2026-02-03 16:56:10] [src/main.c:162 draw_hand] String: red 5, Color: 196, Value: 5
[2026-02-03 16:56:10] [src/main.c:162 draw_hand] String: blue skip, Color: 20, Value: skip
[2026-02-03 16:56:11] [src/main.c:162 draw_hand] String: red 5, Color: 196, Value: 5
[2026-02-03 16:56:11] [src/main.c:162 draw_hand] String: blue skip, Color: 20, Value: skip
[2026-02-03 16:56:11] [src/main.c:162 draw_hand] String: red 5, Color: 196, Value: 5
[2026-02-03 16:56:11] [src/main.c:162 draw_hand] String: blue skip, Color: 20, Value: skip
[2026-02-03 16:56:11] [src/main.c:162 draw_hand] String: red 5, Color: 196, Value: 5
[2026-02-03 16:56:11] [src/main.c:162 draw_hand] String: blue skip, Color: 20, Value: skip
[2026-02-03 16:56:11] [src/main.c:162 draw_hand] String: red 5, Color: 196, Value: 5
[2026-02-03 16:56:11] [src/main.c:162 draw_hand] String: blue skip, Color: 20, Value: skip
[2026-02-03 16:56:12] [src/main.c:162 draw_hand] String: red 5, Color: 196, Value: 5
[2026-02-03 16:56:12] [src/main.c:162 draw_hand] String: blue skip, Color: 20, Value: skip
[2026-02-03 16:56:12] [src/main.c:162 draw_hand] String: red 5, Color: 196, Value: 5
[2026-02-03 16:56:12] [src/main.c:162 draw_hand] String: blue skip, Color: 20, Value: skip
[2026-02-03 16:56:12] [src/main.c:162 draw_hand] String: red 5, Color: 196, Value: 5
[2026-02-03 16:56:12] [src/main.c:162 draw_hand] String: blue skip, Color: 20, Value: skip
[2026-02-03 16:56:13] [src/main.c:162 draw_hand] String: red 5, Color: 196, Value: 5
[2026-02-03 16:56:13] [src/main.c:162 draw_hand] String: blue skip, Color: 20, Value: skip
[2026-02-03 16:56:13] [src/main.c:162 draw_hand] String: red 5, Color: 196, Value: 5
[2026-02-03 16:56:13] [src/main.c:162 draw_hand] String: blue skip, Color: 20, Value: skip
[2026-02-03 16:56:13] [src/main.c:162 draw_hand] String: red 5, Color: 196, Value: 5
[2026-02-03 16:56:13] [src/main.c:162 draw_hand] String: blue skip, Color: 20, Value: skip
[2026-02-03 16:56:14] [src/main.c:162 draw_hand] String: red 5, Color: 196, Value: 5
[2026-02-03 16:56:14] [src/main.c:162 draw_hand] String: blue skip, Color: 20, Value: skip
[2026-02-03 16:56:14] [src/main.c:162 draw_hand] String: red 5, Color: 196, Value: 5
[2026-02-03 16:56:14] [src/main.c:162 draw_hand] String: blue skip, Color: 20, Value: skip
